designer_name,URL
Ben Sherman,https://www.fashionmodeldirectory.com/designers/ben-sherman/
Benoit Missolin,https://www.fashionmodeldirectory.com/designers/benoit-missolin/
Beth Levine,https://www.fashionmodeldirectory.com/designers/beth-levine/
Bruno Basso Christopher Brooke,https://www.fashionmodeldirectory.com/designers/bruno-basso-christopher-brooke/
Brunello Cucinelli,https://www.fashionmodeldirectory.com/designers/brunello-cucinelli/
Beatrix Ong,https://www.fashionmodeldirectory.com/designers/beatrix-ong/
Bjrg Bjrg,https://www.fashionmodeldirectory.com/designers/bjrg-bjrg/
Bruno Frisoni,https://www.fashionmodeldirectory.com/designers/bruno-frisoni/
Bora Aksu,https://www.fashionmodeldirectory.com/designers/bora-aksu/
Britt Lintner,https://www.fashionmodeldirectory.com/designers/britt-lintner/
Bryce Aime,https://www.fashionmodeldirectory.com/designers/bryce-aime/
Brenda Aherne  Helen Delany,https://www.fashionmodeldirectory.com/designers/brenda-aherne--helen-delany/
Becky Hosmer,https://www.fashionmodeldirectory.com/designers/becky-hosmer/
Benjamin Channing Clyburn  Sonia Yoon,https://www.fashionmodeldirectory.com/designers/benjamin-channing-clyburn--sonia-yoon/
Benjamin Kirchoff Edward Meadham,https://www.fashionmodeldirectory.com/designers/benjamin-kirchoff-edward-meadham/
Basia Zarzycka,https://www.fashionmodeldirectory.com/designers/basia-zarzycka/
Bliss Lau,https://www.fashionmodeldirectory.com/designers/bliss-lau/
Bernard Chandran,https://www.fashionmodeldirectory.com/designers/bernard-chandran/
Barbara Casasola,https://www.fashionmodeldirectory.com/designers/barbara-casasola/
Beto Neves,https://www.fashionmodeldirectory.com/designers/beto-neves/
Carlie Wong,https://www.fashionmodeldirectory.com/designers/carlie-wong/
Christiane Bailly,https://www.fashionmodeldirectory.com/designers/christiane-bailly/
Cristobal Balenciaga,https://www.fashionmodeldirectory.com/designers/cristobal-balenciaga/
Celia Birtwell,https://www.fashionmodeldirectory.com/designers/celia-birtwell/
Christian Lacroix,https://www.fashionmodeldirectory.com/designers/christian-lacroix/
Consuela Castiglioni,https://www.fashionmodeldirectory.com/designers/consuela-castiglioni/
Carl Franz Bally,https://www.fashionmodeldirectory.com/designers/carl-franz-bally/
Chantal Thomass,https://www.fashionmodeldirectory.com/designers/chantal-thomass/
Chado Ralph Rucci,https://www.fashionmodeldirectory.com/designers/chado-ralph-rucci/
Christian Dior,https://www.fashionmodeldirectory.com/designers/christian-dior/
Carmen Marc Valvo,https://www.fashionmodeldirectory.com/designers/carmen-marc-valvo/
Carolina Herrera,https://www.fashionmodeldirectory.com/designers/carolina-herrera/
Carven Tommasso,https://www.fashionmodeldirectory.com/designers/carven-tommasso/
Catherine Malandrino,https://www.fashionmodeldirectory.com/designers/catherine-malandrino/
Christopher Bailey,https://www.fashionmodeldirectory.com/designers/christopher-bailey/
Claude Montana,https://www.fashionmodeldirectory.com/designers/claude-montana/
Cynthia Rowley,https://www.fashionmodeldirectory.com/designers/cynthia-rowley/
Carlos Miele,https://www.fashionmodeldirectory.com/designers/carlos-miele/
Christophe Lemaire,https://www.fashionmodeldirectory.com/designers/christophe-lemaire/
Christophe Decarnin,https://www.fashionmodeldirectory.com/designers/christophe-decarnin/
Catherine Walker,https://www.fashionmodeldirectory.com/designers/catherine-walker/
Celine Ivana Viplana Omazic,https://www.fashionmodeldirectory.com/designers/celine-ivana-viplana-omazic/
Charles James,https://www.fashionmodeldirectory.com/designers/charles-james/
Charles Frederick Worth,https://www.fashionmodeldirectory.com/designers/charles-frederick-worth/
Cynthia Steffe,https://www.fashionmodeldirectory.com/designers/cynthia-steffe/
Charles Martin,https://www.fashionmodeldirectory.com/designers/charles-martin/
Charles Dana Gibson,https://www.fashionmodeldirectory.com/designers/charles-dana-gibson/
Cathy Hardwick,https://www.fashionmodeldirectory.com/designers/cathy-hardwick/
Catharine Hopkins,https://www.fashionmodeldirectory.com/designers/catharine-hopkins/
Caroline Reboux,https://www.fashionmodeldirectory.com/designers/caroline-reboux/
Christian Louboutin,https://www.fashionmodeldirectory.com/designers/christian-louboutin/
Christiana Stambolian,https://www.fashionmodeldirectory.com/designers/christiana-stambolian/
Collette Dinnigan,https://www.fashionmodeldirectory.com/designers/collette-dinnigan/
Count Bernard Boutet De Monvel,https://www.fashionmodeldirectory.com/designers/count-bernard-boutet-de-monvel/
Carl Oscar August Erickson,https://www.fashionmodeldirectory.com/designers/carl-oscar-august-erickson/
Cuthbert Collingwood Tinling,https://www.fashionmodeldirectory.com/designers/cuthbert-collingwood-tinling/
Christian Berard,https://www.fashionmodeldirectory.com/designers/christian-berard/
Cynthia Vincent,https://www.fashionmodeldirectory.com/designers/cynthia-vincent/
Cecilia Echenique,https://www.fashionmodeldirectory.com/designers/cecilia-echenique/
Craig Natiello,https://www.fashionmodeldirectory.com/designers/craig-natiello/
Cecilia Prado,https://www.fashionmodeldirectory.com/designers/cecilia-prado/
Cris Barros,https://www.fashionmodeldirectory.com/designers/cris-barros/
Constanca Basto,https://www.fashionmodeldirectory.com/designers/constanca-basto/
Christophe Josse,https://www.fashionmodeldirectory.com/designers/christophe-josse/
Christiun Urquijo,https://www.fashionmodeldirectory.com/designers/christiun-urquijo/
Claudio Buziol,https://www.fashionmodeldirectory.com/designers/claudio-buziol/
Cl Orozco,https://www.fashionmodeldirectory.com/designers/cl-orozco/
Caca Garcia,https://www.fashionmodeldirectory.com/designers/caca-garcia/
Claire Macauley,https://www.fashionmodeldirectory.com/designers/claire-macauley/
Carla Amorin,https://www.fashionmodeldirectory.com/designers/carla-amorin/
Carolina Amato,https://www.fashionmodeldirectory.com/designers/carolina-amato/
Christopher Kane,https://www.fashionmodeldirectory.com/designers/christopher-kane/
Claire Waight Keller,https://www.fashionmodeldirectory.com/designers/claire-waight-keller/
Camilla Marc Freeman,https://www.fashionmodeldirectory.com/designers/camilla-marc-freeman/
Carla Dawan Behrle,https://www.fashionmodeldirectory.com/designers/carla-dawan-behrle/
Carlos Tufvesson,https://www.fashionmodeldirectory.com/designers/carlos-tufvesson/
Carol Christian Poell,https://www.fashionmodeldirectory.com/designers/carol-christian-poell/
Caroline Charles,https://www.fashionmodeldirectory.com/designers/caroline-charles/
Carolyn Massey,https://www.fashionmodeldirectory.com/designers/carolyn-massey/
Carri Mundane,https://www.fashionmodeldirectory.com/designers/carri-mundane/
Cat Swanson,https://www.fashionmodeldirectory.com/designers/cat-swanson/
Catherine Regehr,https://www.fashionmodeldirectory.com/designers/catherine-regehr/
Cathy Xiomara,https://www.fashionmodeldirectory.com/designers/cathy-xiomara/
Cecilia Rebagliati,https://www.fashionmodeldirectory.com/designers/cecilia-rebagliati/
Cecilia Yau,https://www.fashionmodeldirectory.com/designers/cecilia-yau/
Cedric Yves Benaroch,https://www.fashionmodeldirectory.com/designers/cedric-yves-benaroch/
Cesar De La Parra,https://www.fashionmodeldirectory.com/designers/cesar-de-la-parra/
Charles Anastase,https://www.fashionmodeldirectory.com/designers/charles-anastase/
Charlie Brown,https://www.fashionmodeldirectory.com/designers/charlie-brown/
Christian Roth Eric Domege,https://www.fashionmodeldirectory.com/designers/christian-roth-eric-domege/
Cesare Paciotti,https://www.fashionmodeldirectory.com/designers/cesare-paciotti/
