fashionDesigner,designer_name
http://www.wikidata.org/entity/Q181630,Sayo Hayakawa
http://www.wikidata.org/entity/Q186304,Kim Kardashian
http://www.wikidata.org/entity/Q187832,Mandy Moore
http://www.wikidata.org/entity/Q188461,Dannii Minogue
http://www.wikidata.org/entity/Q188648,Raven-Symoné
http://www.wikidata.org/entity/Q189067,Alyssa Milano
http://www.wikidata.org/entity/Q193458,Sienna Miller
http://www.wikidata.org/entity/Q194220,Nas
http://www.wikidata.org/entity/Q202801,Vanessa Williams
http://www.wikidata.org/entity/Q203043,Peter Ingwersen
http://www.wikidata.org/entity/Q204019,M.I.A.
http://www.wikidata.org/entity/Q206581,Ben Sherman
http://www.wikidata.org/entity/Q207710,Sharon den Adel
http://www.wikidata.org/entity/Q207939,Alexander McQueen
http://www.wikidata.org/entity/Q212531,Kate Moss
http://www.wikidata.org/entity/Q212659,Monica Lewinsky
http://www.wikidata.org/entity/Q214800,Calvin Klein
http://www.wikidata.org/entity/Q216298,Nicky Hilton
http://www.wikidata.org/entity/Q216936,Sean Combs
http://www.wikidata.org/entity/Q221454,René Lacoste
http://www.wikidata.org/entity/Q228766,Rooney Mara
http://www.wikidata.org/entity/Q229048,Melissa McCarthy
http://www.wikidata.org/entity/Q229437,Donatella Versace
http://www.wikidata.org/entity/Q230169,Lauren Conrad
http://www.wikidata.org/entity/Q230196,Rue McClanahan
http://www.wikidata.org/entity/Q230728,Vera Wang
http://www.wikidata.org/entity/Q231121,Yayoi Kusama
http://www.wikidata.org/entity/Q231182,Kelly Osbourne
http://www.wikidata.org/entity/Q231228,Solange Knowles
http://www.wikidata.org/entity/Q231270,Khloé Kardashian
http://www.wikidata.org/entity/Q231776,Margot Fonteyn
http://www.wikidata.org/entity/Q232391,Natalia Goncharova
http://www.wikidata.org/entity/Q232458,Natalia Oreiro
http://www.wikidata.org/entity/Q232495,Nicole Richie
http://www.wikidata.org/entity/Q232776,Anna Chapman
http://www.wikidata.org/entity/Q232812,Stella McCartney
http://www.wikidata.org/entity/Q232972,Sonia Delaunay
http://www.wikidata.org/entity/Q233295,Tila Tequila
http://www.wikidata.org/entity/Q233911,Jessica Jung
http://www.wikidata.org/entity/Q234147,Mary Quant
http://www.wikidata.org/entity/Q234503,Nina Ricci
http://www.wikidata.org/entity/Q813280,Beatrice d’Este
http://www.wikidata.org/entity/Q861953,Bill Blass
http://www.wikidata.org/entity/Q862473,Thierry Mugler
http://www.wikidata.org/entity/Q911745,María Eugenia Suárez
http://www.wikidata.org/entity/Q911984,Nicolas Ghesquière
http://www.wikidata.org/entity/Q927877,Oliver Sykes
http://www.wikidata.org/entity/Q936206,Bernhard Willhelm
http://www.wikidata.org/entity/Q945402,William Travilla
http://www.wikidata.org/entity/Q952764,Perry Ellis
http://www.wikidata.org/entity/Q962378,Russell Simmons
http://www.wikidata.org/entity/Q966153,Haider Ackermann
http://www.wikidata.org/entity/Q967645,Nigo
http://www.wikidata.org/entity/Q978265,Martin Margiela
http://www.wikidata.org/entity/Q978646,Tim Gunn
http://www.wikidata.org/entity/Q981342,Salvatore Ferragamo
http://www.wikidata.org/entity/Q982582,Caroline Spencer
http://www.wikidata.org/entity/Q984309,Erté
http://www.wikidata.org/entity/Q1017066,Chiaki
http://www.wikidata.org/entity/Q1024044,Leigh Bowery
http://www.wikidata.org/entity/Q1045017,Carrie Kennedy
http://www.wikidata.org/entity/Q1048350,Cassidy Haley
http://www.wikidata.org/entity/Q1051455,Kiko Mizuhara
http://www.wikidata.org/entity/Q1071703,Kira Plastinina
http://www.wikidata.org/entity/Q1074078,Kiyoharu
http://www.wikidata.org/entity/Q1074859,Meg
http://www.wikidata.org/entity/Q1078807,Christian Audigier
http://www.wikidata.org/entity/Q1079125,Christian Bérard
http://www.wikidata.org/entity/Q1081523,Lee Radziwill
http://www.wikidata.org/entity/Q1086512,Christopher Bailey
http://www.wikidata.org/entity/Q1113685,Roberto Capucci
http://www.wikidata.org/entity/Q1118468,Dóra Konsánszky
http://www.wikidata.org/entity/Q1127564,Márk Lakatos
http://www.wikidata.org/entity/Q1145143,Guido Maria Kretschmer
http://www.wikidata.org/entity/Q1146169,Custo Dalmau
http://www.wikidata.org/entity/Q1151142,Cătălin Botezatu
http://www.wikidata.org/entity/Q1151944,Mary-Kate Olsen
http://www.wikidata.org/entity/Q1154396,Renato Balestra
http://www.wikidata.org/entity/Q1157092,Cesare Paciotti
http://www.wikidata.org/entity/Q1164002,Márta Makány
http://www.wikidata.org/entity/Q1174338,David Emanuel
http://www.wikidata.org/entity/Q1193914,Ashley Olsen
http://www.wikidata.org/entity/Q1195767,Mariko Shinoda
http://www.wikidata.org/entity/Q1202383,Erina Ikuta
http://www.wikidata.org/entity/Q1213120,Éva Mészáros
http://www.wikidata.org/entity/Q1225616,Stefano Gabbana
http://www.wikidata.org/entity/Q1231482,Paul Smith
http://www.wikidata.org/entity/Q1251200,Klára Rotschild
http://www.wikidata.org/entity/Q1253962,S. Hegyi Lucia
http://www.wikidata.org/entity/Q1255520,Alfred Isidore Römer
http://www.wikidata.org/entity/Q1258918,Dries van Noten
http://www.wikidata.org/entity/Q1282473,Sergio Tacchini
http://www.wikidata.org/entity/Q1284684,Edina Ronay
http://www.wikidata.org/entity/Q1287352,Roland Mouret
http://www.wikidata.org/entity/Q1288912,Eduard Josef Wimmer-Wisgrill
http://www.wikidata.org/entity/Q1290291,Sophie Theallet
http://www.wikidata.org/entity/Q1293942,Nomi Goldfarb
http://www.wikidata.org/entity/Q1314282,Edit Szűcs
http://www.wikidata.org/entity/Q1315078,Katalin Sárváry
http://www.wikidata.org/entity/Q1333697,Else Oppler-Legband
http://www.wikidata.org/entity/Q1337312,Emilie Bouwman
http://www.wikidata.org/entity/Q1339382,Kimora Lee Simmons
http://www.wikidata.org/entity/Q1347583,Raf Simons
http://www.wikidata.org/entity/Q1349083,Erdem Moralıoğlu
http://www.wikidata.org/entity/Q1355658,Karl Kani
http://www.wikidata.org/entity/Q1362757,Alber Elbaz
http://www.wikidata.org/entity/Q1366554,Adrian
http://www.wikidata.org/entity/Q1372213,Kris Van Assche
http://www.wikidata.org/entity/Q1379144,Eva Maria Düringer Cavalli
http://www.wikidata.org/entity/Q1379193,Eva Gronbach
http://www.wikidata.org/entity/Q1396462,Walter Van Beirendonck
http://www.wikidata.org/entity/Q1421706,Georges Lepape
http://www.wikidata.org/entity/Q1434542,Lino Villaventura
http://www.wikidata.org/entity/Q1435910,Fonzworth Bentley
http://www.wikidata.org/entity/Q1441938,Francisco Costa
http://www.wikidata.org/entity/Q1456127,Frida Giannini
http://www.wikidata.org/entity/Q1459845,Tatiana Yacovleff
http://www.wikidata.org/entity/Q1486239,Liffa Gregoriussen
http://www.wikidata.org/entity/Q1490600,Gabriele Strehle
http://www.wikidata.org/entity/Q1515584,Gertrud Höchsmann
http://www.wikidata.org/entity/Q1547018,Olivier Theyskens
http://www.wikidata.org/entity/Q1557610,Miguel Caballero
http://www.wikidata.org/entity/Q1563710,Manish Malhotra
http://www.wikidata.org/entity/Q1569847,Hakan Yıldırım
http://www.wikidata.org/entity/Q1584914,Peggy Noland
http://www.wikidata.org/entity/Q1586613,Jacques Reynaud
http://www.wikidata.org/entity/Q1600065,Heinz Bormann
http://www.wikidata.org/entity/Q1606874,Henry Holland
http://www.wikidata.org/entity/Q1608028,Valeria Marini
http://www.wikidata.org/entity/Q1610726,Serge Lutens
http://www.wikidata.org/entity/Q1623076,Oxana Fedorova
http://www.wikidata.org/entity/Q1631480,Enrico Coveri
http://www.wikidata.org/entity/Q1646047,Thang de Hoo
http://www.wikidata.org/entity/Q1658296,Ilan Fernández
http://www.wikidata.org/entity/Q1662036,Muzaffar Ali
http://www.wikidata.org/entity/Q1669831,Thirstin Howl III
http://www.wikidata.org/entity/Q1672540,Irene Luft
http://www.wikidata.org/entity/Q1673431,Isaac Mizrahi
http://www.wikidata.org/entity/Q1677232,Jack Weil
http://www.wikidata.org/entity/Q1677394,Jaclyn Ngan
http://www.wikidata.org/entity/Q1681647,Susanne Erichsen
http://www.wikidata.org/entity/Q234595,Aya Ueto
http://www.wikidata.org/entity/Q234601,Vera Mukhina
http://www.wikidata.org/entity/Q234636,Heidi Montag
http://www.wikidata.org/entity/Q234961,Edith Head
http://www.wikidata.org/entity/Q235870,Chloë Sevigny
http://www.wikidata.org/entity/Q236085,Gisela
http://www.wikidata.org/entity/Q237669,Taryn Manning
http://www.wikidata.org/entity/Q237944,Sonia Rykiel
http://www.wikidata.org/entity/Q238121,Sheri Moon Zombie
http://www.wikidata.org/entity/Q239411,Ivanka Trump
http://www.wikidata.org/entity/Q239576,Lisa Rinna
http://www.wikidata.org/entity/Q240527,Laura Gemser
http://www.wikidata.org/entity/Q240570,Kim Gordon
http://www.wikidata.org/entity/Q241810,Atıl Kutoğlu
http://www.wikidata.org/entity/Q242300,Kyary Pamyu Pamyu
http://www.wikidata.org/entity/Q242342,Miuccia Prada
http://www.wikidata.org/entity/Q242802,Kristin Cavallari
http://www.wikidata.org/entity/Q242868,Jean-Paul Gaultier
http://www.wikidata.org/entity/Q243106,Carlota Alfaro
http://www.wikidata.org/entity/Q243113,Cedella Marley
http://www.wikidata.org/entity/Q250208,Fernando Sánchez
http://www.wikidata.org/entity/Q255184,"Lucy, Lady Duff-Gordon"
http://www.wikidata.org/entity/Q256388,Lisa Fonssagrives
http://www.wikidata.org/entity/Q256562,Inès de La Fressange
http://www.wikidata.org/entity/Q256708,Sabrina Bryan
http://www.wikidata.org/entity/Q257243,Margaret Cho
http://www.wikidata.org/entity/Q258156,Colleen Atwood
http://www.wikidata.org/entity/Q259385,Whitney Port
http://www.wikidata.org/entity/Q259594,Lyubov Popova
http://www.wikidata.org/entity/Q261862,Matthew Williamson
http://www.wikidata.org/entity/Q262789,Anna Sui
http://www.wikidata.org/entity/Q264490,Gianni Versace
http://www.wikidata.org/entity/Q264589,Carolina Herrera
http://www.wikidata.org/entity/Q264730,Gloria Vanderbilt
http://www.wikidata.org/entity/Q265250,Edina Altara
http://www.wikidata.org/entity/Q266934,Madeleine Vionnet
http://www.wikidata.org/entity/Q267435,Diggy Simmons
http://www.wikidata.org/entity/Q267764,DJ Paul
http://www.wikidata.org/entity/Q268356,Allegra Versace
http://www.wikidata.org/entity/Q268678,Diana Vickers
