schoolLabel,locationSchoolLabel,countrySchoolLabel
Konstfack,Midsommarkransen,Sweden
Sheffield Hallam University,Sheffield,United Kingdom
Ravensbourne University London,London,United Kingdom
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
University of Westminster,London,United Kingdom
Harrow School,Harrow on the Hill,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
City of London Academy Highbury Grove,London,United Kingdom
Central Saint Martins,London,United Kingdom
Harrow School,Harrow on the Hill,United Kingdom
Courtauld Institute of Art,London,United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Central Saint Martins,London,United Kingdom
Northwestern University,Evanston,United States
King Edward VI Grammar School,Louth,United Kingdom
School of the Art Institute of Chicago,Chicago,United States
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Eton College,Eton,United Kingdom
Central Saint Martins,London,United Kingdom
Manchester Metropolitan University,Manchester,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
St Paul's School,Barnes,United Kingdom
Central Saint Martins,London,United Kingdom
Rhode Island School of Design,Providence,United States
Virginia Commonwealth University,Monroe Park Campus,United States
Moscow State University,Ramenki District,Russia
Moscow State University,Ramenki District,Russian Empire
Moscow State University,Ramenki District,Soviet Union
Moscow Art Theatre School,Moscow,Russia
Moscow Art Theatre School,Moscow,Soviet Union
Duncan of Jordanstone College of Art and Design,Dundee,United Kingdom
Moscow State Linguistic University,Moscow,Russian Empire
Moscow State Linguistic University,Moscow,Russia
Moscow State Linguistic University,Moscow,Soviet Union
Royal Central School of Speech and Drama,Swiss Cottage,United Kingdom
Moscow State Textile University,Moscow,Russia
Moscow State Textile University,Moscow,Soviet Union
Russian State University of Design and Applied Arts (Stroganov University),Moscow,Russian Empire
Russian State University of Design and Applied Arts (Stroganov University),Moscow,Russia
Russian State University of Design and Applied Arts (Stroganov University),Moscow,Soviet Union
Taras Shevchenko National University of Kyiv,Kyiv,Ukraine
Taras Shevchenko National University of Kyiv,Kyiv,Russian Empire
Taras Shevchenko National University of Kyiv,Kyiv,Soviet Union
Cornell University,Ithaca,United States
Cranleigh School,Cranleigh,United Kingdom
Jadavpur University,Jadavpur,India
Rhode Island School of Design,Providence,United States
Cheltenham Ladies' College,Cheltenham,United Kingdom
University of Massachusetts Boston,Columbia Point,United States
New Hall School,Boreham,United Kingdom
Queen's College London,London,United Kingdom
John F. Kennedy School of Government,Massachusetts,United States
John F. Kennedy School of Government,Cambridge,United States
University of Leeds,University of Leeds Campus,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Duke University,Duke University campus,United States
Moscow State Textile University,Moscow,Russia
Moscow State Textile University,Moscow,Soviet Union
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Willem de Kooning Academy,Blaak 10,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
University of the Balearic Islands,Campus de la UIB,Spain
Utrecht School of the Arts,Utrecht,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Willem de Kooning Academy,Blaak 10,Netherlands
Utrecht School of the Arts,Utrecht,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
IFM Paris,Cité de la mode et du design,France
Willem de Kooning Academy,Blaak 10,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Maria Curie-Skłodowska University,Lublin,Poland
Royal Academy of Arts,Piccadilly,United Kingdom
Danish Design School,Fabrikmestervej 10,Denmark
